,AT1_1,AT1_2,AT1_3,AT2_1,AT2_2,AT2_3,Ciliated_1,Ciliated_2,Ciliated_3,Club_1,Club_2,Club_3,EC.aerocyte_1,EC.aerocyte_2,EC.aerocyte_3,EC.gCap_1,EC.gCap_2,EC.gCap_3,EC.vascular_1,EC.vascular_2,EC.vascular_3,EC.lymphatic_1,EC.lymphatic_2,EC.lymphatic_3,Pericyte_1,Pericyte_2,Pericyte_3,Fib.WNT2.Palpha_1,Fib.WNT2.Palpha_2,Fib.WNT2.Palpha_3,MANC_1,MANC_2,MANC_3,SMC_1,SMC_2,SMC_3,Mesothelial_1,Mesothelial_2,Mesothelial_3,T_1,T_2,T_3,B_1,B_2,B_3,NK_1,NK_2,NK_3,CD103..cDC1_1,CD103..cDC1_2,CD103..cDC1_3,CD11b..cDC2_1,CD11b..cDC2_2,CD11b..cDC2_3,Neutrophil_1,Neutrophil_2,Neutrophil_3,Monocyte_1,Monocyte_2,Monocyte_3,aM_1,aM_2,aM_3,iM_1,iM_2,iM_3
Parp12,520.5123809,597.8212499,829.2927046,371.3858286,331.5770107,346.7617648,794.8175649,755.3707945,724.1616,776.8249516,719.4572287,776.1874495,473.2584764,490.3219766,504.2283903,350.0666932,329.0677927,392.0097184,426.5495389,418.2206834,381.5702486,174.4312459,153.6765591,180.4277442,379.0302756,302.9916714,335.9283959,413.5089841,504.9963014,391.7204948,500.4257386,438.668855,501.070794,184.3605158,196.4653234,163.9049351,515.0785983,622.4739332,589.0231025,100.1600784,94.20640531,60.72604904,0,77.77321639,465.7853795,187.77856,0,0,508.4889251,416.3502629,426.5043642,376.0708747,391.1683484,384.3018922,179.1016672,188.6532757,289.0993978,489.3804693,595.3128913,510.3701234,654.6962735,1098.93796,989.7027894,255.6325124,443.9501094,321.3433822
Patz1,306.9096398,328.6874601,352.4477446,319.6566613,484.5014788,454.2718339,753.5422714,522.5563869,575.2238749,752.7488881,764.541088,807.6999324,870.3234376,785.6296953,828.3836932,719.6176484,540.1644745,699.5338158,538.446643,503.1032765,579.3270071,452.8256712,338.4343239,353.2367353,576.4352048,374.8425094,598.9272699,681.3837954,736.6633669,621.007297,519.8148865,363.953147,608.3010086,392.3065485,350.8472821,505.6500039,478.0843347,427.6639604,404.8376236,522.8055144,450.250036,610.43378,502.9294046,326.9940948,223.5252275,313.0522494,538.7545013,341.0342872,939.6058863,703.0314654,730.4290333,577.6486296,560.7920075,634.4136714,0,0,236.23139,507.6858963,674.7445501,733.6167824,234.926205,474.6128487,469.1118278,309.7016452,309.8312121,320.8923953
Pax5,0,0,0,0,0,0,172.7613751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616.7922422,606.582003,594.783725,0,0,0,0,0,0,0,0,0,56.63869996,138.4541035,116.9707836,172.0541954,269.5850356,33.40118066,0,0,0,0,0,0
Paxbp1,182.79321,192.133376,399.1689918,299.8306679,276.041029,321.4314791,547.7492852,458.1098027,426.6256822,531.2106444,508.7588687,486.8661587,258.7430862,268.9064295,263.304481,265.8644275,185.7575074,221.6472617,222.1494156,194.7045548,187.4478135,157.833442,115.7784834,120.6904343,240.2555703,203.8263381,208.9342755,359.0266266,370.5142135,303.9803708,197.4771164,223.8423712,262.1127072,221.757846,183.7155111,150.3290831,321.3712908,226.3763226,245.6891427,246.0414869,239.4010935,220.2745791,226.4878398,160.6894659,125.5085722,227.7328256,168.9116611,205.032329,493.7675547,348.1810972,351.7755361,303.7551383,298.2577955,294.0513972,194.6226775,255.663664,286.2710717,269.8485507,342.6369332,329.2245219,394.1197132,600.8616043,401.0515919,246.9719859,306.9637679,277.788039
Pbrm1,307.0695429,383.5654939,560.0753113,487.9135149,476.3170253,479.8373933,1020.317991,882.344461,832.7676147,756.5231976,743.0734172,709.7053693,308.4135909,324.1977651,329.5759865,332.3701547,244.8564898,296.832929,269.0164447,262.2619542,251.1176938,259.1683419,228.6580092,224.366884,320.1357044,233.3225203,284.0769821,495.1168912,496.7187605,431.2334756,299.7878809,304.4542978,385.2723796,340.3969205,318.7465975,275.8604879,366.8516717,308.1368658,314.7249383,292.0016319,285.1521331,264.6428194,285.723085,186.9101192,129.7102721,209.1911878,169.5983023,215.6821059,954.1235064,669.4902107,720.2402412,320.6412784,306.8715961,337.5262252,283.1779544,415.6632925,306.2856406,486.5992888,588.1259788,529.7946322,418.1745803,736.7648565,558.3309485,254.4455042,326.2490689,322.1601073
Pbx1,67.54273941,57.32759925,69.42901427,55.25294404,97.03953171,69.59610677,119.324482,99.73941039,77.13377174,165.5447917,72.71282061,72.22755849,118.1157964,100.2330423,112.2207501,53.56566122,48.603183,61.21803795,137.7512544,162.4568346,126.3475342,62.48006306,64.14139532,47.13694481,559.2808421,284.6656842,324.9466117,1480.222993,1490.864013,1489.988602,1192.761807,735.9552375,1104.699381,259.7287958,294.9131798,286.3493225,913.6176916,1025.661017,969.425502,0,0,0,15.71729889,0,0,0,0,16.40361867,77.75327405,79.10760747,85.02949278,0,0,0,66.08602478,84.58612911,70.80155114,29.27420811,17.06582409,22.67419967,62.5798919,72.54120665,73.56480383,26.49195105,0,24.99272264
Pbx2,88.18884083,0,88.22002844,0,0,0,240.3435248,223.9594474,176.6133257,152.4814947,0,0,203.1997354,274.4020253,234.306359,206.8583069,121.3976109,184.5533685,140.7246356,196.447071,144.5629027,106.6764671,67.09696543,100.0516456,261.1744667,237.0939342,193.9866252,420.2080448,329.480375,308.0014369,281.7114602,278.8998928,333.9671907,281.3045824,251.0295941,267.8649072,286.4945241,370.2172603,367.661263,136.5260544,140.5622459,162.5390533,133.4595925,104.5932716,72.24889009,116.6236709,98.07979319,117.2715367,131.113156,82.66944554,122.3848458,122.3234883,108.7498558,101.9268712,124.10076,104.8630511,58.9226823,106.0057249,182.1748312,183.5370146,137.2799224,226.6315657,274.3137626,90.12573116,81.41065308,169.4223308
Pbx3,0,0,0,0,0,0,0,0,128.4781868,0,0,0,75.106904,67.07170116,163.6383551,151.1322578,36.12699965,44.43144713,90.59324237,65.25336332,36.86247019,67.17397682,40.30315847,57.21418367,103.2802818,62.2484957,95.55544812,214.1795443,141.3612258,201.4327114,111.6697548,139.344925,171.3899313,0,86.2001264,44.27751565,149.8839781,0,308.9961098,0,0,0,0,0,0,65.73137734,21.51158294,47.27451639,77.67200775,66.83008711,91.15832099,130.0269343,113.9136958,64.08093746,0,0,0,55.52913685,90.92557439,72.3149466,0,0,0,62.26064361,0,94.44963448
Peg3,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6530433,0,0,0,0,0,0,0,0,0,0,76.96866155,0,0,58.91878389,24.02086646,0,86.04933874,110.605558,146.8077825,0,0,0,54.09286007,27.22719678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pgr,0,0,0,0,548.1546318,0,0,0,0,0,0,0,61.38396742,133.6171624,99.28441791,0,15.63726883,0,42.38215878,28.52926709,36.52651456,26.53313245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.18227855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
